"","score","text"
"39",0,"Spanduk kampanye : JAKARTA BERSYARIAH, dengan menampilkan pasangan Anies Baswedan - Sandiaga Uno. Sikap tegas Anies - Sandi !? #PilkadaDKI"
"40",-3,"RT @ulinyusron: Mainan kok Jakarta bersyariah. Anies Sandi masih main ayat, mayat, jinayat, kualat, sekarat, lama-lama kiamat. Program nyon…"
"41",1,"RT @EvelloCorp: Saling tuding soal fitnah mewarnai #PilkadaDKI. Puncak perbincangan terjadi pada 3/4/2017 ttg spanduk Jakarta Bersyariah ht…"
"42",-2,"RT @cagubnyinyir: Maling Tidak Ngaku ! Anies: Spanduk ""Jakarta Bersyariah"", itu  Fitnah Sistematis https://t.co/O0UGiFB139 @DJ_edotin  @max…"
"43",0,"RT @Junaidi_yus: @RinjaniJB @HARUN_AR61 @kurawa terbongkar pemasangan SPANDUK JAKARTA BERSYARIAH ternyata pendukung???  baca ini https://t.…"
"44",1,"RT @herry_mety: Dia sendiri yang buat baliho Jakarta Bersyariah, dia sendiri yang tanda tangan kontrak politik, dia sendiri yang menyangkal…"
"45",-3,"RT @Alitingting2: Si cagub mengklarifikasi bhw dia tidak pasang spanduk, tp sama sekali tidak menyinggung soal isi spanduk, soal Jakarta Be…"
"46",0,"Take all the time you need to heal emotionally https://t.co/2PbuSd60jN Jakarta Bersyariah"
"47",1,"@benny_ibra @aniesbaswedan Tolong dibaca ini isinya apa ya?
https://t.co/SHXhDY0BNE"
"48",-1,"RT @EvelloCorp: [3/4/2017, 19:11 WIB] Pilkada DKI Jakarta diwarnai saling tuduh spanduk Jakarta Bersyariah. Jumlah kicauan mencapai 431 twe…"
"49",1,"RT @Bisniscom: Jakarta Bersyariah, Ahok-Djarot Komitmen Jadikan Jakarta Berpancasilais https://t.co/B3xUTtB49h https://t.co/1JKwbQr3ic"
"50",1,"Dia sendiri yang buat baliho Jakarta Bersyariah, dia sendiri yang tanda tangan kontrak politik, dia sendiri yang menyangkal! *ASU*"
"51",1,"Jakarta Bersyariah, Ahok-Djarot Komitmen Jadikan Jakarta Berpancasilais https://t.co/B3xUTtB49h https://t.co/1JKwbQr3ic"
"52",-2,"RT @JokoHQ: Apa pernah Anies terang2an membantah spanduk Jakarta Bersyariah? Nggaklah. Dia pengen jg dpt secuil suara dr pendukung Jakarta…"
"53",-1,"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8"
"54",0,"RT @GunRomli: FUI: NKRI Bersyariah Harga Mati, ini Sekjennya Al-Khaththath alias Gatot Pendukung Anies, mulai dr Jakarta Bersyariah https:/…"
"55",-1,"* Marak Spanduk Jakarta Bersyariah, Tim Ahok Minta Tindakan Tegas https://t.co/AZdqWQKjVO"
"56",0,"#BeritaJakarta: Kubu Ahok-Djarot Minta Anies-Sandi Tegas Tolak Jakarta Bersyariah https://t.co/yoKMx6GAHQ"
"57",-1,"#  Marak Spanduk Jakarta Bersyariah, Tim Ahok Minta Tindakan Tegas https://t.co/M8ZCVI89RS"
"58",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"59",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"60",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
