"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Aryprasetyo85 hEy! Pake otak dong!! Kalau nggak jakarta bersyariah apa lagi?! Mau lo si ahok mau buat jakarta ancur",FALSE,1,"Aryprasetyo85",2017-04-04 07:06:12,FALSE,"848847035533070336","849156127539384320","435004096","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","syarifermania",0,FALSE,FALSE,NA,NA
"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk",FALSE,0,NA,2017-04-04 07:04:21,FALSE,NA,"849155662491787264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stikdrums",101,TRUE,FALSE,NA,NA
"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?",FALSE,0,NA,2017-04-04 07:03:07,FALSE,NA,"849155353400954880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JerryHarjadi",66,TRUE,FALSE,NA,NA
"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8",FALSE,0,NA,2017-04-04 07:01:22,FALSE,NA,"849154911233114115",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","elnurch1",129,TRUE,FALSE,NA,NA
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 06:58:06,FALSE,NA,"849154090760196096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GojekPetualang",39,TRUE,FALSE,NA,NA
"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?",FALSE,0,NA,2017-04-04 06:57:35,FALSE,NA,"849153959272919040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","abhomeron",66,TRUE,FALSE,NA,NA
"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?",FALSE,0,NA,2017-04-04 06:55:00,FALSE,NA,"849153311303270400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sherman_2000",66,TRUE,FALSE,NA,NA
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 06:54:13,FALSE,NA,"849153114502438913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ferism",39,TRUE,FALSE,NA,NA
"RT @ulinyusron: Mainan kok Jakarta bersyariah. Anies Sandi masih main ayat, mayat, jinayat, kualat, sekarat, lama-lama kiamat. Program nyon…",FALSE,0,NA,2017-04-04 06:53:20,FALSE,NA,"849152892044845056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","marzochi8518",165,TRUE,FALSE,NA,NA
"RT @maspiyuuu: KLARIFIKASI dan BANTAHAN Tim Anies-Sandi Terkait Spanduk Jakarta Bersyariah https://t.co/K24lYTWzus",FALSE,0,NA,2017-04-04 06:52:36,FALSE,NA,"849152707860414465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","StartHoky",34,TRUE,FALSE,NA,NA
